solver;run;success;time_seconds;best_cost;error
GA_Satisfactory_AllStrategies;33;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;34;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;35;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;36;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;37;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;38;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;39;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;40;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;41;false;600,160000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;42;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;43;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;44;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;45;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;46;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;47;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;48;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;49;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;50;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
